Country Name,CO2_emissions,health_spending,GNI,DPT_vax,Measles_vax,HIV_incidence,TB_incidence,life_expectancy,cell_subs,safe_water_pct,safe_sanitation_pct,poverty_rate
Costa Rica,1.6525402759999999,1244.150269,19280.0,96.0,96.0,0.42,9.6,79.914,178.5944273,80.53079246,31.00045795,1.1
Cote d'Ivoire,0.42475746799999997,174.63523869999997,4690.0,83.0,70.0,0.66,148.0,57.016999999999996,129.91211040000002,35.01650849,57.94876916857851,4.530555555555556
Croatia,4.2380576119999995,1773.441772,26410.0,92.0,89.0,0.04,10.0,77.82682927,103.1730226,72.09441406816394,71.69353866,0.5
Cuba,2.262053371,2517.681641,20412.66304347826,99.0,99.0,0.33,7.2,78.66199999999999,40.68858498,72.09441406816394,36.98810077,4.530555555555556
Curacao,4.140249228967392,1449.1322523124295,25690.0,87.67213114754098,87.0327868852459,0.9936923076923078,6.4,78.01707317,115.5478188,72.09441406816394,57.94876916857851,4.530555555555556
Cyprus,6.188092584,2498.465088,36810.0,97.0,90.0,0.9936923076923078,5.1,80.672,136.17229809999998,99.75333101,76.99207458,0.0
Czech Republic,9.761725917,2753.383789,36630.0,96.0,97.0,0.9936923076923078,5.4,78.97804878,118.75123229999998,97.88131644,83.60172238,0.0
Denmark,5.78145978,5589.411133,56570.0,98.0,97.0,0.06,5.1,81.10243902,124.57288329999999,96.73467406,91.36491906,0.1
Djibouti,0.49782862,134.433197,5100.0,76.0,81.0,0.19,272.0,65.893,39.51407638,72.09441406816394,35.43612633,17.0
Dominican Republic,2.224840963,954.5252686000001,15940.0,84.0,86.0,0.58,46.0,73.689,83.41139781,72.09441406816394,57.94876916857851,0.7
Ecuador,2.249579931,949.689148,11360.0,85.0,81.0,0.24,43.0,76.584,87.28679711,66.18117482,41.81090851,3.2
"Egypt, Arab Rep.",2.4749439019999997,661.4362792999999,10800.0,94.0,94.0,0.05,13.0,71.656,106.7559394,72.09441406816394,64.58175593,3.8
El Salvador,0.998728265,576.2373047,7980.0,85.0,85.0,0.28,72.0,72.872,148.3697097,72.09441406816394,57.94876916857851,1.9
Equatorial Guinea,4.461144462,738.4888916,16600.0,53.0,53.0,0.9936923076923078,181.0,58.06100000000001,44.85832828,72.09441406816394,57.94876916857851,4.530555555555556
Eritrea,0.210964653,59.69359207,20412.66304347826,95.0,99.0,0.14,99.0,65.538,20.36395515,72.09441406816394,57.94876916857851,4.530555555555556
Estonia,12.35782429,2230.44165,33040.0,93.0,93.0,0.34,15.0,78.09268293,144.3413244,95.82552261,92.95386558,0.3
Eswatini,0.9246022429999999,708.291626,7840.0,90.0,89.0,16.8,502.0,58.318999999999996,93.52732251,72.09441406816394,57.94876916857851,4.530555555555556
Ethiopia,0.145300853,65.52737427,2010.0,69.0,59.0,0.23,164.0,65.872,37.2180717,10.95876046,6.074356692,4.530555555555556
Faroe Islands,4.140249228967392,1449.1322523124295,20412.66304347826,87.67213114754098,87.0327868852459,0.9936923076923078,109.91783505154638,82.29512195,117.14841409999998,72.09441406816394,57.94876916857851,4.530555555555556
Fiji,2.062772092,329.18988039999994,12370.0,99.0,96.0,0.23,51.0,67.252,117.8305767,72.09441406816394,57.94876916857851,4.530555555555556
Finland,7.808338601,4339.905761999999,47590.0,89.0,94.0,0.9936923076923078,4.9,81.63170732,129.9132285,99.63312064,84.09987264,0.1
France,4.727575622,5110.134277,45580.0,96.0,90.0,0.9936923076923078,9.0,82.57560976,106.4394347,99.06831255,78.639709,0.0
French Polynesia,4.140249228967392,1449.1322523124295,20412.66304347826,87.67213114754098,87.0327868852459,0.9936923076923078,22.0,77.251,104.2509652,86.23117227,57.94876916857851,4.530555555555556
